timestamp,vehicle_id,route
900,vehicle_100017,-73 -47 -21 -7 3 14
900,vehicle_100018,-55 57 -131
900,vehicle_100019,-47 -21 -7 3 14 93
900,vehicle_100020,131 -57 55
1200,vehicle_10001,-93 -14 -3 7 25 86 119
1200,vehicle_10002,-73 -47 -21 -7 3 14 93
1200,vehicle_10003,-121 -86 78 -71 73
1200,vehicle_10004,-73 -47 -21 -7 3 14
1200,vehicle_10005,-121 -86 78 -50 48 -66
1200,vehicle_10006,-78 -25 -7 3 14 99
1200,vehicle_10007,-121 -86 78 -50 48 -66
1200,vehicle_10008,-47 -21 -7 3 14 93
1200,vehicle_10009,-55 57 -131
1200,vehicle_100010,-14 -3 9 55
1200,vehicle_100011,-99 -14 -3 7 25 86 119
1200,vehicle_100012,-55 -9 3 14
1200,vehicle_100013,-99 -14 -3 7 25 86 119
1200,vehicle_100014,-121 -86 -25 -7 3 14
1200,vehicle_100015,-55 57 -131
1200,vehicle_100016,131 -57 55
1200,vehicle_100017,-73 -47 -21 -7 3 14
1200,vehicle_100018,-55 57 -131
1200,vehicle_100019,-47 -21 -7 3 14 93
1200,vehicle_100020,131 -57 55
1500,vehicle_10001,-93 -14 -3 7 25 86 119
1500,vehicle_10002,-73 -47 -21 -7 3 14 93
1500,vehicle_10003,-121 -86 78 -71 73
1500,vehicle_10004,-73 -47 -21 -7 3 14
1500,vehicle_10005,-121 -86 78 -50 48 -66
1500,vehicle_10006,-78 -25 -7 3 14 99
1500,vehicle_10007,-121 -86 78 -50 48 -66
1500,vehicle_10008,-47 -21 -7 3 14 93
1500,vehicle_10009,-55 -9 3 14 99
1500,vehicle_100010,-14 -3 9 55
1500,vehicle_100011,-99 -14 -3 7 25 86 119
1500,vehicle_100012,-55 -9 3 14
1500,vehicle_100013,-99 -14 -3 7 25 86 119
1500,vehicle_100014,-121 -86 -25 -7 3 14
1500,vehicle_100015,-55 -9 3 14 99
1500,vehicle_100016,-99 -14 -3 9 55
1500,vehicle_100017,-73 -47 -21 -7 3 14
1500,vehicle_100018,-55 -9 3 14 99
1500,vehicle_100019,-47 -21 -7 3 14 93
1500,vehicle_100020,-99 -14 -3 9 55
1800,vehicle_10001,-93 -14 -3 7 25 86 119
1800,vehicle_10002,-73 -47 -21 -7 3 14 93
